"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"1",57652307447.0062,57652307447.0062,57652307447.0062,57652307447.0062,57652307447.0062,57652307447.0062,57652307447.0062,57652307447.0062,42565.0402052984,42565.0402052984,42565.0402052984,42565.0402052984,42565.0402052984,42565.0402052984,42565.0402052984,42565.0402052984,2.16689911020837,0.633939631530281,5.65030344277938,1.56246760388638,1.86612327247727,2.16689911020837,2.75992217443965,3.53325117347231,35.4983956085146,35.4983956085146,35.4983956085146,35.4983956085146,35.4983956085146,35.4983956085146,35.4983956085146,35.4983956085146
"2",54940765052.0234,56858435448.8043,50594835404.9392,55696533493.0868,55316790637.3961,54940765052.0234,54199720315.1232,53234068612.7442,635147.016935422,635147.016935422,635147.016935422,635147.016935422,635147.016935422,635147.016935422,635147.016935422,635147.016935422,2.03765594764766,0.62286924509959,4.77321498386936,1.49524939319956,1.77025427040827,2.03765594764766,2.55032319515742,3.18987912933057,33.3809967672162,34.8784826501127,29.9871380371782,33.9711724415677,33.6746340625574,33.3809967672162,32.8023119738494,32.0482201875682
"3",52261829643.1274,55022825931.1405,47143152817.2785,53228897174.6052,52769637853.9696,52404640291.8337,51350752974.5167,50252336263.0132,32363.2414070592,32485.7783627006,32055.297885618,32412.4302869702,32387.8642095226,32363.2414070592,32313.829619796,32247.6144847079,1.9140603209624,0.598092418704542,4.35800823012077,1.41315725463738,1.66905056658972,1.92065038552217,2.38291542406907,2.96558090367504,31.3561218463501,33.4910445623416,27.3781521486927,32.1060079991468,31.7493879407664,31.4640872882657,30.6489362389536,29.794489146989
"4",50009792308.7331,52971595095.2749,44926175973.562,51005490617.8271,50479515484.3715,50151100952.0273,49026472863.8131,47955016660.3098,37421.8725578445,37642.6861154125,36952.8334778881,37501.5215748888,37464.0181497512,37433.7980672214,37344.4163941552,37247.7509875004,1.81328229000308,0.571236525471742,4.099340438369,1.34141254327174,1.58079381458638,1.81980630929723,2.2504439196541,2.79796132456099,29.7050690304855,31.987184117974,25.7527917410675,30.4759410168964,30.0704378321483,29.8119524486628,28.9449477005241,28.110260716893
"5",48205278182.8608,51125966325.9005,43329872140.6483,49173776396.2068,48583341857.2913,48281102737.2979,47175906090.5159,46157548266.1791,47426.6597323352,47751.1249740928,46783.3266299885,47539.4408502855,47480.352059367,47442.9051550389,47311.3407717865,47180.9802944594,1.73225727758836,0.547008326588688,3.91168289608294,1.28213498375451,1.50758430976469,1.73593565643587,2.14469760669132,2.66635128676102,28.3776311590629,30.6304677495163,24.573630093773,29.129132440791,28.6777386529669,28.437894270933,27.5847268283785,26.7878533434803
"6",47953433888.8395,50764598829.8227,43301948301.9003,48881927124.1135,48237403700.0828,47953337147.8444,46892641478.7184,45925759223.8661,51041.912251178,51410.5130885497,50331.1554798479,51168.3939729907,51091.8109917426,51051.9747525658,50902.515674911,50759.2900961578,1.66702026794307,0.526566153854611,3.76629612162339,1.23387366578328,1.44797384194422,1.66748688925933,2.05991600238199,2.56136778827531,27.3088491294054,29.4857590367869,23.6600803031342,28.0326170399006,27.5437404131692,27.3164938157579,26.4941762027855,25.7329873560134
"7",52910925120.2662,55605926476.0887,48459706363.4743,53800489826.1884,53114572817.3884,52844016368.9082,51829702732.4076,50907184919.9575,620541.921783941,624904.957606733,612249.862886295,622031.599466728,621002.847861065,620541.763945723,618777.065465628,617106.724778146,1.61448260874968,0.509791086921645,3.65089090665532,1.19483042655943,1.39987337223239,1.61219215654365,1.99193055294785,2.47732315491816,26.4481213551898,28.5463987480396,22.934922111272,27.1455398743228,26.6287023326878,26.4105967327238,25.6196754764367,24.8885134466988
"8",61551955943.55,64143460802.4505,57269322823.6364,62407690015.9551,61691880789.4182,61431863850.3957,60458578483.0583,59572805935.1676,64046.0629493053,64407.0202613132,63372.9517358616,64168.7502537355,64074.4706161981,64036.6873142594,63891.9400689064,63755.8830508737,1.57224613264433,0.496203908757479,3.558622712838,1.16338448570781,1.3612819546205,1.56780744923082,1.93752290921724,2.4101029824403,25.7561582539111,27.7855518983925,22.3551465785266,26.4310760185689,25.8945592463081,25.6834390245404,24.9198265100234,24.213089974118
"9",68542402465.038,71047418436.506,64397995381.1422,69370045308.8963,68633594366.8523,68382013873.226,67442832937.1818,66586964719.5764,99506.8011360253,99914.6742242988,98760.5782184875,99644.8560074881,99529.6106098392,99487.1501725568,99325.3046478336,99173.8931956368,1.53877339489075,0.485391960582438,3.48582680560952,1.13843495951262,1.33079020036209,1.53273538997047,1.89460289141256,2.35711013130727,25.2077582204723,27.1801068197903,21.8976879925088,25.8642033249315,25.3144880828869,25.1088372063251,24.3677257311081,23.6805983549009
"10",73736141998.3565,76171217257.9681,69702962094.8231,74541066807.0539,73790772095.6795,73545972733.4648,72634228410.0873,71802338713.5424,78671.8194452282,78926.9513399007,78210.3620774247,78757.9669518648,78681.403931931,78654.9059006395,78554.401454502,78460.5758763618,1.52138608371472,0.479482131793791,3.45208140425658,1.12524299527196,1.31459261872496,1.51418970628519,1.87238878964822,2.3302239025432,24.9226527733675,26.8491013328021,21.6849495352981,25.5643002200182,25.0061414816434,24.8047540695431,24.0816647028871,23.4100316266715
