"","V1","V2","V3","V4","V5","V6","V7","V8"
"54",117705.861551059,117705.861551059,117705.861551059,117705.861551059,117705.861551059,117705.861551059,117705.861551059,117705.861551059
"55",117687.555204783,117687.555204783,117687.555204783,117687.555204783,117687.555204783,117687.555204783,117687.555204783,117687.555204783
"56",117670.339394459,117670.339394459,117670.339394459,117670.339394459,117670.339394459,117670.339394459,117670.339394459,117670.339394459
"57",117654.235042252,117654.235042252,117654.235042252,117654.235042252,117654.235042252,117654.235042252,117654.235042252,117654.235042252
"58",117639.345564219,117639.345564219,117639.345564219,117639.345564219,117639.345564219,117639.345564219,117639.345564219,117639.345564219
"59",117625.767574008,117625.767574008,117625.767574008,117625.767574008,117625.767574008,117625.767574008,117625.767574008,117625.767574008
"60",117613.531762773,117613.531762773,117613.531762773,117613.531762773,117613.531762773,117613.531762773,117613.531762773,117613.531762773
"61",117602.582615537,117602.582615537,117602.582615537,117602.582615537,117602.582615537,117602.582615537,117602.582615537,117602.582615537
"62",117592.791377639,117592.791377639,117592.791377639,117592.791377639,117592.791377639,117592.791377639,117592.791377639,117592.791377639
"63",117583.988676229,117583.988676229,117583.988676229,117583.988676229,117583.988676229,117583.988676229,117583.988676229,117583.988676229
"64",117576.001706163,117576.001706163,117576.001706163,117576.001706163,117576.001706163,117576.001706163,117576.001706163,117576.001706163
"65",117568.684051745,117568.684051745,117568.684051745,117568.684051745,117568.684051745,117568.684051745,117568.684051745,117568.684051745
"66",117561.931643759,117561.931643759,117561.931643759,117561.931643759,117561.931643759,117561.931643759,117561.931643759,117561.931643759
"67",117555.683972338,117555.683972338,117555.683972338,117555.683972338,117555.683972338,117555.683972338,117555.683972338,117555.683972338
"68",117549.914024306,117549.914024306,117549.914024306,117549.914024306,117549.914024306,117549.914024306,117549.914024306,117549.914024306
"69",117544.612693874,117544.612693874,117544.612693874,117544.612693874,117544.612693874,117544.612693874,117544.612693874,117544.612693874
"70",117539.773507482,117539.773507482,117539.773507482,117539.773507482,117539.773507482,117539.773507482,117539.773507482,117539.773507482
"71",117535.381889826,117535.381889826,117535.381889826,117535.381889826,117535.381889826,117535.381889826,117535.381889826,117535.381889826
"72",117531.410756081,117531.410756081,117531.410756081,117531.410756081,117531.410756081,117531.410756081,117531.410756081,117531.410756081
"73",117527.821886467,117527.821886467,117527.821886467,117527.821886467,117527.821886467,117527.821886467,117527.821886467,117527.821886467
"74",117524.571004206,117524.571004206,117524.571004206,117524.571004206,117524.571004206,117524.571004206,117524.571004206,117524.571004206
"75",117521.613985083,117521.613985083,117521.613985083,117521.613985083,117521.613985083,117521.613985083,117521.613985083,117521.613985083
"76",117518.912026665,117518.912026665,117518.912026665,117518.912026665,117518.912026665,117518.912026665,117518.912026665,117518.912026665
"77",117516.43451947,117516.43451947,117516.43451947,117516.43451947,117516.43451947,117516.43451947,117516.43451947,117516.43451947
"78",117514.15937639,117514.15937639,117514.15937639,117514.15937639,117514.15937639,117514.15937639,117514.15937639,117514.15937639
"79",117512.071373669,117512.071373669,117512.071373669,117512.071373669,117512.071373669,117512.071373669,117512.071373669,117512.071373669
"80",117510.15947515,117510.15947515,117510.15947515,117510.15947515,117510.15947515,117510.15947515,117510.15947515,117510.15947515
"81",117508.414139923,117508.414139923,117508.414139923,117508.414139923,117508.414139923,117508.414139923,117508.414139923,117508.414139923
"82",117506.825350095,117506.825350095,117506.825350095,117506.825350095,117506.825350095,117506.825350095,117506.825350095,117506.825350095
"83",117505.381692685,117505.381692685,117505.381692685,117505.381692685,117505.381692685,117505.381692685,117505.381692685,117505.381692685
"84",117504.070439048,117504.070439048,117504.070439048,117504.070439048,117504.070439048,117504.070439048,117504.070439048,117504.070439048
"85",117502.878296071,117502.878296071,117502.878296071,117502.878296071,117502.878296071,117502.878296071,117502.878296071,117502.878296071
"86",117501.792401016,117501.792401016,117501.792401016,117501.792401016,117501.792401016,117501.792401016,117501.792401016,117501.792401016
"87",117500.801181308,117500.801181308,117500.801181308,117500.801181308,117500.801181308,117500.801181308,117500.801181308,117500.801181308
"88",117499.894845816,117499.894845816,117499.894845816,117499.894845816,117499.894845816,117499.894845816,117499.894845816,117499.894845816
"89",117499.065446676,117499.065446676,117499.065446676,117499.065446676,117499.065446676,117499.065446676,117499.065446676,117499.065446676
"90",117498.306592885,117498.306592885,117498.306592885,117498.306592885,117498.306592885,117498.306592885,117498.306592885,117498.306592885
"91",117497.612976242,117497.612976242,117497.612976242,117497.612976242,117497.612976242,117497.612976242,117497.612976242,117497.612976242
"92",117496.979881399,117496.979881399,117496.979881399,117496.979881399,117496.979881399,117496.979881399,117496.979881399,117496.979881399
"93",117496.402810562,117496.402810562,117496.402810562,117496.402810562,117496.402810562,117496.402810562,117496.402810562,117496.402810562
"94",117495.87728599,117495.87728599,117495.87728599,117495.87728599,117495.87728599,117495.87728599,117495.87728599,117495.87728599
"95",117495.398826248,117495.398826248,117495.398826248,117495.398826248,117495.398826248,117495.398826248,117495.398826248,117495.398826248
"96",117494.963044489,117494.963044489,117494.963044489,117494.963044489,117494.963044489,117494.963044489,117494.963044489,117494.963044489
"97",117494.56579703,117494.56579703,117494.56579703,117494.56579703,117494.56579703,117494.56579703,117494.56579703,117494.56579703
"98",117494.203316579,117494.203316579,117494.203316579,117494.203316579,117494.203316579,117494.203316579,117494.203316579,117494.203316579
"99",117493.872287637,117493.872287637,117493.872287637,117493.872287637,117493.872287637,117493.872287637,117493.872287637,117493.872287637
"100",117493.569850614,117493.569850614,117493.569850614,117493.569850614,117493.569850614,117493.569850614,117493.569850614,117493.569850614
"101",117493.293546085,117493.293546085,117493.293546085,117493.293546085,117493.293546085,117493.293546085,117493.293546085,117493.293546085
