"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100" "V101" "V102" "V103"
2.83888368296582e-10 4.22350103803882e-05 0.00368164299676663 0.0352911707032656 0.115085254983555 0.197647152509934 0.221772881699484 0.183743009249155 0.121304335906718 0.0671276486931605 0.0322594745419691 0.013813677046449 0.00537308904103399 0.00192678377452334 0.000644446363420987 0.000202919728372079 6.0607438635407e-05 1.7277964380938e-05 4.72578959345206e-06 1.24556352144455e-06 3.17524443496414e-07 7.85394980253339e-08 1.89012418043417e-08 4.43628939987446e-09 1.0176142583673e-09 2.28548255302712e-10 5.0339581129468e-11 1.08894353398639e-11 2.31646153633801e-12 4.85144090965353e-13 1.00136879541007e-13 2.03893330355475e-14 4.09890056637274e-15 8.14185306212391e-16 1.59910544179262e-16 3.10748528649211e-17 5.97827681826796e-18 1.13923655773583e-18 2.15149387659502e-19 4.02861029821491e-20 7.48246903262549e-21 1.37905352787101e-21 2.52303664014659e-22 4.58374867447653e-23 8.27201435637268e-24 1.48328364920288e-24 2.64350639121001e-25 4.68374036739218e-26 8.25215835884152e-27 1.44611921004386e-27 2.52113426941628e-28 4.37352113426235e-29 7.55079729501685e-30 1.29765421210358e-30 2.22025904379633e-31 3.7826546366184e-32 6.41806699147359e-33 1.0846483640092e-33 1.82603989898901e-34 3.06284153965186e-35 5.1190024191507e-36 8.5259664217757e-37 1.41529785876846e-37 2.34176975840309e-38 3.86257253384088e-39 6.35165911693793e-40 1.04139588290414e-40 1.7025541642276e-41 2.77574140055242e-42 4.51320480166071e-43 7.31901337817842e-44 1.18389605815417e-44 1.91028813781662e-45 3.07494907287673e-46 4.93808997333512e-47 7.91205394816681e-48 1.26489573034519e-48 2.01781115512689e-49 3.21211223475938e-50 5.10279928733783e-51 8.09014217237043e-52 1.28013331256334e-52 2.02174473844314e-53 3.18705436171026e-54 5.01491858356152e-55 7.877132066488e-56 1.2351511394035e-56 1.93346854130452e-57 3.02159220828576e-58 4.71446558389095e-59 7.34416738907226e-60 1.14230277560466e-60 1.77403858844515e-61 2.75107343528678e-62 4.26002620131091e-63 6.58728670773477e-64 1.01718020680281e-64 1.56855122439263e-65 2.41557782615109e-66 3.71515187339608e-67 5.70658979878673e-68 8.75451889245241e-69 3.42735646905678e-69
0 4.01690541511674e-10 5.15273005378083e-05 0.00419248797512025 0.0384042049535347 0.121061276350229 0.202356297396653 0.221996000627689 0.180410477334199 0.117109636661824 0.063841027349359 0.0302684917540584 0.01280300158453 0.00492425273931119 0.00174758908313051 0.000578902719115054 0.00018064874010431 5.3502351643873e-05 1.51318292868689e-05 4.1078712148927e-06 1.0750368964504e-06 2.72209963656633e-07 6.68996657783079e-08 1.60015497996022e-08 3.73373361555651e-09 8.51656770509505e-10 1.90245764984118e-10 4.16862224776804e-11 8.97258679664425e-12 1.89952189499141e-12 3.95976169031134e-13 8.1365224438944e-14 1.64951887761595e-14 3.30210013625604e-15 6.53236146109295e-16 1.27791032967168e-16 2.47376218693039e-17 4.74129513884947e-18 9.00224833130136e-19 1.69408416581328e-19 3.16116720931403e-20 5.8515652113878e-21 1.07492680690241e-21 1.96031567104406e-22 3.55026186934281e-23 6.38732454313272e-24 1.1419040848963e-24 2.02913904634194e-25 3.58490284394288e-26 6.29841456816216e-27 1.1007072189563e-27 1.91377839021154e-28 3.31114221308279e-29 5.70180615949959e-30 9.77401307194057e-31 1.66813946547302e-31 2.83504468045534e-32 4.79867124179509e-33 8.09054190659228e-34 1.3589032286518e-34 2.27409992538859e-35 3.79222112065849e-36 6.30218649147964e-37 1.04387931631791e-37 1.72352048647769e-38 2.8368296235347e-39 4.65524158549398e-40 7.61698314790296e-41 1.24277762366857e-41 2.02213293836528e-42 3.28145493655844e-43 5.31125043791968e-44 8.57496667222041e-45 1.38103230056318e-45 2.21891223976136e-46 3.55688059744367e-47 5.6887673900598e-48 9.07846853439307e-49 1.44569716249281e-49 2.29739791683431e-50 3.64344492673244e-51 5.7667000309894e-52 9.10967607663206e-53 1.43634711958757e-53 2.26056250053526e-54 3.55134857181976e-55 5.56939622166394e-56 8.71924103754242e-57 1.36276858718458e-57 2.1264488179518e-58 3.31278394215882e-59 5.15290441148194e-60 8.00288882021273e-61 1.24105676305506e-61 1.92176662910305e-62 2.97157926498927e-63 4.58843688552239e-64 7.07531320112522e-65 1.08953789678879e-65 1.6755859092425e-66 2.57353635789e-67 3.94770218372907e-68 1.54542792865417e-68
0 0 5.67582373303636e-10 6.27762636193193e-05 0.00476755009309264 0.0417334971751738 0.127169832554563 0.206888415637916 0.221909118494681 0.176891096246037 0.112902154479256 0.060630560924466 0.0283607401028892 0.0118497063232426 0.00450660941552306 0.00158284705564119 0.000519299241879107 0.0001605975400613 4.71642681011634e-05 1.32337698875452e-05 3.56576357843092e-06 9.26561277281503e-07 2.33036612482418e-07 5.69053451684236e-08 1.35277959487509e-08 3.13805157575e-09 7.1176939512609e-10 1.58141324662145e-10 3.44721819602971e-11 7.38283670809883e-12 1.55545267207897e-12 3.22745830354058e-13 6.60202077544075e-14 1.332615460856e-14 2.65647896988441e-15 5.23371949455393e-16 1.01980455427008e-16 1.96652784201116e-17 3.75501128881325e-18 7.10364667395707e-19 1.33205801207649e-19 2.47703968849365e-20 4.56975016752369e-21 8.36700349868902e-22 1.52097386979155e-22 2.74595405057661e-23 4.92515581202755e-24 8.7786620560127e-25 1.55538010026726e-25 2.74002959948223e-26 4.80051929263415e-27 8.36628820629893e-28 1.45070999738883e-28 2.50332781854806e-29 4.29957345577839e-30 7.35157068429031e-31 1.25156772044858e-31 2.12185846352267e-32 3.58286987699387e-33 6.02642207040783e-34 1.0098574769599e-34 1.68611754041806e-35 2.80540300317118e-36 4.65191927753649e-37 7.68857795868719e-38 1.26672398460863e-38 2.08057389842382e-39 3.40714449677356e-40 5.56344014618372e-41 9.05897789700419e-42 1.47107119220368e-42 2.38254512363416e-43 3.84887942295679e-44 6.20218325282136e-45 9.97015891625141e-46 1.59895267953234e-46 2.55842600713112e-47 4.08451409792486e-48 6.50674438089218e-49 1.03434977805345e-49 1.64087319777418e-50 2.59782097653835e-51 4.10479861803419e-52 6.47357161459512e-53 1.01902721091596e-53 1.60116782198539e-54 2.51140065260215e-55 3.93225245152542e-56 6.14653771605232e-57 9.59180641619507e-58 1.49440152862599e-58 2.32459362278344e-59 3.61039644245348e-60 5.59893753089041e-61 8.66988857277335e-62 1.34057896041129e-62 2.06992998273126e-63 3.19165724090909e-64 4.91458357811043e-65 7.55751925317003e-66 1.16066169479059e-66 1.78023498352601e-67 6.9688101720579e-68
0 0 0 8.0085360721678e-10 7.63731104195379e-05 0.00541384286801385 0.0452874348199886 0.133398176485671 0.211223660969729 0.221509363124044 0.173195711250168 0.108692297269343 0.0575003181277689 0.0265357447729939 0.0109519213800339 0.00411856995211742 0.00143161264171639 0.00046517538966559 0.000142570536160886 4.15183676016465e-05 1.15574671268192e-05 3.09083066329904e-06 7.97465428983686e-07 1.99219223039424e-07 4.8335823073083e-08 1.14203386560917e-08 2.6336846162626e-09 5.9401985218722e-10 1.3126915487938e-10 2.84663606576902e-11 6.0661870840955e-12 1.27190958812986e-12 2.62687358357345e-13 5.34936077648595e-14 1.07507644736341e-14 2.13407396505738e-15 4.18733415528216e-16 8.12681654315431e-17 1.56109450373049e-17 2.96969909070083e-18 5.5975587125311e-19 1.0459194454156e-19 1.93823041517304e-20 3.56368909420077e-21 6.50351206075376e-22 1.17843175436827e-22 2.12086529607026e-23 3.7923455964405e-24 6.73928739762161e-25 1.19055156675792e-25 2.09131793033323e-26 3.65369371614701e-27 6.3501030078857e-28 1.09813694763176e-28 1.88992495447304e-29 3.23761526960691e-30 5.52171899721809e-31 9.37698653618423e-32 1.58584178690793e-32 2.67133292196685e-33 4.48258383380664e-34 7.49408444618418e-35 1.24839807721756e-35 2.0724487750873e-36 3.42894115384206e-37 5.65494902571498e-38 9.29682122875113e-39 1.52377197076968e-39 2.49015180459376e-40 4.05780140184624e-41 6.59404516297071e-42 1.06867246740457e-42 1.72743918578666e-43 2.78521531218136e-44 4.47964593775613e-45 7.18765573177242e-46 1.15058322763214e-46 1.83765245163665e-47 2.92852924312287e-48 4.6569528528965e-49 7.39000045248516e-50 1.170309585008e-50 1.84966539579279e-51 2.91771784902761e-52 4.59379828699103e-53 7.21936661392841e-54 1.1325154377836e-54 1.77347735189371e-55 2.77243651563175e-56 4.32682530057791e-57 6.74164125455341e-58 1.04873705849454e-58 1.6288755863272e-59 2.52606569718768e-60 3.91157266774829e-61 6.04814686690449e-62 9.33837033555461e-63 1.43982905692432e-63 2.21694373360805e-64 3.40890362535379e-65 5.23483655238855e-66 8.02844702904725e-67 3.14260148564857e-67
0 0 0 0 1.1283863826869e-09 9.27824758492869e-05 0.00613898386981349 0.0490739627349403 0.139732088545896 0.215342336773336 0.220795131268834 0.169335789849913 0.104490250478472 0.0544539480653202 0.0247927937031875 0.0101077271924831 0.00375857687698831 0.00129298224341414 0.000416098581824048 0.000126386632054528 3.64962215374672e-05 1.00791107876792e-05 2.67533606136149e-06 6.8537782295033e-07 1.70066506056113e-07 4.09982801285996e-08 9.62745251627835e-09 2.20723167928963e-09 4.95043169499669e-10 1.08807910435464e-10 2.34733776137333e-11 4.97724250325079e-12 1.03857088865819e-12 2.13500142941278e-13 4.32820034453023e-14 8.6607262464487e-15 1.7119576500981e-15 3.34537849341557e-16 6.46702334714968e-17 1.23748161038798e-17 2.34527680835211e-18 4.40449810067304e-19 8.20075428564608e-20 1.51446174462992e-20 2.77515741460947e-21 5.04784967747159e-22 9.11732810959156e-23 1.63573659459573e-23 2.91592470239044e-24 5.16630554826403e-25 9.0999781077992e-26 1.59391563815338e-26 2.77687621817849e-27 4.81292598674395e-28 8.30066463810341e-29 1.42479327749021e-29 2.43447640811862e-30 4.14141669163893e-31 7.01540414854877e-32 1.18354225358719e-32 1.988865715077e-33 3.32949034708389e-34 5.55338194284971e-35 9.22993834194657e-36 1.52880754054983e-36 2.52387799945431e-37 4.15328592886902e-38 6.81345559711448e-39 1.11439018766707e-39 1.8173624827692e-40 2.95541599596106e-41 4.79297428118199e-42 7.75239717176357e-43 1.25067613677032e-43 2.01262890847375e-44 3.23089801261936e-45 5.17431564623529e-46 8.26762806158483e-47 1.31805750843246e-47 2.09671399856742e-48 3.32828417891346e-49 5.2723225099202e-50 8.33502614968019e-51 1.3150963975739e-51 2.07097660508687e-52 3.25522003728292e-53 5.10731772862559e-54 7.99892955092391e-55 1.25059231224938e-55 1.95192125248324e-56 3.04150569629294e-57 4.73163609226587e-58 7.34930701249705e-59 1.13974907964735e-59 1.76487866922557e-60 2.72883733089854e-61 4.21319543797e-62 6.49576419011612e-63 1.00010748156964e-63 1.53770688965184e-64 2.36114786552329e-65 3.62082432449167e-66 1.41723281474383e-66
0 0 0 0 0 1.58758279723272e-09 0.000112555127335505 0.00695122242696302 0.0531004721938544 0.146155867608857 0.219225023220334 0.219766121755291 0.165323362385443 0.100305932577566 0.0514946778554056 0.0231309515810322 0.00931516503397032 0.00342510804624656 0.00116609368706078 0.000371663222879915 0.000111878425683169 3.20353435669844e-05 8.77719240100876e-06 2.31235933020976e-06 5.88196014956551e-07 1.44970682753841e-07 3.47245004166394e-08 8.10433968066615e-09 1.84716598225008e-09 4.11963778921165e-10 9.00600323158982e-11 1.9328273866856e-11 4.07789134339813e-12 8.46817640372227e-13 1.73273047806245e-13 3.4969278270848e-14 6.9669568816237e-15 1.37135664071072e-15 2.66886587744451e-16 5.13880631483987e-17 9.79539966367041e-18 1.8494799155063e-18 3.46073259970039e-19 6.42071228286723e-20 1.1816396576344e-20 2.15798928786564e-21 3.91235922658785e-22 7.04376047623742e-23 1.25975909153937e-23 2.23881676214839e-24 3.95475920774175e-25 6.94554503468057e-26 1.21306605365294e-26 2.10743773159725e-27 3.64259966656425e-28 6.26531743158818e-29 1.07258817014886e-29 1.82793079038471e-30 3.10168296723949e-31 5.2410215508224e-32 8.82026279051466e-33 1.47862060355274e-33 2.46945403663699e-34 4.10932369620171e-35 6.81425460076668e-36 1.12614853151462e-36 1.85502826494508e-37 3.04599239283415e-38 4.98625204663094e-39 8.13820125626129e-40 1.32443649951282e-40 2.14941511595644e-41 3.47882135477588e-42 5.61566582030241e-43 9.04192306329125e-44 1.45225368167336e-44 2.32689430253543e-45 3.71956726101859e-46 5.932225752278e-47 9.44015636781394e-48 1.49900358623278e-48 2.37526903670396e-49 3.75606690184479e-50 5.92771095885345e-51 9.33675261527737e-52 1.46784751204421e-52 2.30336427262511e-53 3.60794994284555e-54 5.64148529376884e-55 8.80602086188041e-56 1.37226132160368e-56 2.13492073512333e-57 3.31612490783523e-58 5.14280447427225e-59 7.96350823859562e-60 1.23128592316937e-60 1.90098084136793e-61 2.930722708267e-62 4.51193937890946e-63 6.93675356463121e-64 1.06504092721711e-64 1.6330726102934e-65 6.39167558365769e-66
0 0 0 0 0 0 2.23039622129874e-09 0.000136342639847128 0.00785946468713995 0.0573736825040242 0.152652333942001 0.222852708366306 0.218423360357382 0.161170958833495 0.0961489527603318 0.0486253126597814 0.0215490744093901 0.00857224714852459 0.00311667991954086 0.00105012601171479 0.000331489693417877 9.88914262533419e-05 2.80787620368465e-05 7.63231184060228e-06 1.99571898963305e-06 5.04058794499775e-07 1.23398155353833e-07 2.93679385264482e-08 6.81225622082303e-09 1.54358664209284e-09 3.42327731675121e-10 7.44339069618632e-11 1.58919666283866e-11 3.33618086216096e-12 6.89462637143244e-13 1.40420639777152e-13 2.82119477763658e-14 5.59627467786734e-15 1.09691985923628e-15 2.12605906662088e-16 4.07743604586996e-17 7.74234742164548e-18 1.45637165695318e-18 2.71523078742604e-19 5.01972248006349e-20 9.20616802796015e-21 1.67562964412359e-21 3.02787626389148e-22 5.4338627271923e-23 9.68787934254255e-24 1.71643706067103e-24 3.02292305158043e-25 5.29345717811278e-26 9.21872067500686e-27 1.59705572578666e-27 2.75283887286463e-28 4.7221565332954e-29 8.06271366058962e-30 1.37050623248366e-30 2.3195993009811e-31 3.90972565649058e-32 6.56366444636213e-33 1.09767844019464e-33 1.8289053176766e-34 3.03633894246189e-35 5.02348373854182e-36 8.28334255893094e-37 1.36144403412453e-37 2.23065746728306e-38 3.64374615338229e-39 5.93453452014106e-40 9.63801974436651e-41 1.5609502672799e-41 2.52130998964616e-42 4.06194076105533e-43 6.52745429662212e-44 1.04637740798786e-44 1.67338993212175e-45 2.6699246388968e-46 4.25031871679602e-47 6.75135749430114e-48 1.07012186422766e-48 1.69267002235538e-49 2.67197111206501e-50 4.20953533625246e-51 6.6191344745438e-52 1.03885223317101e-52 1.6274662491381e-53 2.54504355451817e-54 3.97303268011043e-55 6.19171209075489e-56 9.63337443204201e-57 1.49638024075194e-57 2.32069204705668e-58 3.59352544609978e-59 5.55605716796936e-60 8.57768439873762e-61 1.32234543624916e-61 2.03565858923297e-62 3.12941636743302e-63 4.80433125842092e-64 7.36590515425642e-65 2.88277218329892e-65
0 0 0 0 0 0 0 3.12887230687610e-09 0.000164914292447028 0.00887329522057102 0.061899515675188 0.15920284505029 0.226206922199034 0.216769215962123 0.156891542262009 0.0920285711297044 0.0458482380691991 0.0200458245314845 0.0078769664641779 0.00283185043474899 0.000944299088566057 0.000295223315913501 8.72832918247674e-05 2.45746142296427e-05 6.62699704426956e-06 1.71990175449827e-06 4.31320894800543e-07 1.04881124090874e-07 2.4801109000067e-08 5.71774121486337e-09 1.28800124773686e-09 2.84043799914051e-10 6.14284722724908e-11 1.30473526440081e-11 2.72535892500295e-12 5.60520832574336e-13 1.13629491384224e-13 2.27268714741329e-14 4.48864340495851e-15 8.76111875342846e-16 1.69115761462155e-16 3.23051862420418e-17 6.11059264507976e-18 1.14513054663055e-18 2.12718683847542e-19 3.91864921047583e-20 7.16197694712296e-21 1.29917294506562e-21 2.33990219711304e-22 4.18574655881925e-23 7.43926661600334e-24 1.31400615276683e-24 2.30724822899625e-25 4.02840066672738e-26 6.99547236250065e-27 1.20849698535586e-27 2.07735310574683e-28 3.55383992150183e-29 6.05187086971417e-30 1.02603568092237e-30 1.73216283298512e-31 2.91230466193845e-32 4.87720936312631e-33 8.13680104985179e-34 1.3525137240415e-34 2.24021824145399e-35 3.69787160565749e-36 6.08381153116866e-37 9.97721285250563e-38 1.63116217147949e-38 2.65877864633929e-39 4.32120706599779e-40 7.00333119379394e-41 1.13192595018269e-41 1.82465408685487e-42 2.93377023171021e-43 4.70529714138328e-44 7.52825645205409e-45 1.20164955430442e-45 1.91366437612287e-46 3.04078355338968e-47 4.82128944070611e-48 7.6282336259593e-49 1.20445888761243e-49 1.89797453054314e-50 2.98498039148093e-51 4.6856164865525e-52 7.34153370182742e-53 1.14821056295497e-53 1.79262775821229e-54 2.79390089498257e-55 4.34712351623602e-56 6.75274331484207e-57 1.04727890762212e-57 1.62167689710328e-58 2.50727296782855e-59 3.87069685954095e-60 5.96679880697529e-61 9.18485456351478e-62 1.41187203775326e-62 2.16732293022026e-63 3.32253684056892e-64 1.30025474901891e-64
0 0 0 0 0 0 0 0 4.38275085189338e-09 0.000199176463873484 0.0100029942628607 0.0666829647946541 0.165787325326733 0.229269872558232 0.214807407655112 0.152498439428817 0.0879536616285703 0.0431654247647949 0.0186196860015379 0.00722730584899279 0.00256922149108514 0.000847873085686027 0.000262533302895397 7.69230893935055e-05 2.14757622013864e-05 5.74553628861924e-06 1.47999760962727e-06 3.68530064541769e-07 8.90100661500371e-08 2.09132661432232e-08 4.79193745605321e-09 1.07313579323659e-09 2.35332370893099e-10 5.06199531004667e-11 1.0695972596019e-11 2.22305880188238e-12 4.55015200615501e-13 9.18130263135575e-14 1.82809754418917e-14 3.59487928637648e-15 6.98710644413479e-16 1.3432163497565e-16 2.55570348391532e-17 4.81556373433157e-18 8.99064616079054e-19 1.66401658191994e-19 3.05454264883418e-20 5.56339716625286e-21 1.0057939651382e-21 1.80555370850979e-22 3.21951401152556e-23 5.70406742863058e-24 1.00443084076969e-24 1.75838785264828e-25 3.06111072398714e-26 5.30049658147262e-27 9.13112309025339e-28 1.56528340004318e-28 2.67059768765368e-29 4.53577177018005e-30 7.67002955605826e-31 1.29156892340723e-31 2.16610972036732e-32 3.61867476493766e-33 6.0226189336634e-34 9.98723486782636e-35 1.6503784094856e-35 2.71801456504498e-36 4.46168603383406e-37 7.30082277898894e-38 1.19100756582537e-38 1.93717731771895e-39 3.14178613939305e-40 5.08129773700336e-41 8.19596492759481e-42 1.31852378497738e-42 2.11578597699039e-43 3.38675198438109e-44 5.40821041697353e-45 8.61611788521009e-46 1.36957451514941e-46 2.17221417003586e-47 3.43786191468936e-48 5.42960027491689e-49 8.55785222750026e-50 1.34617687730061e-50 2.11349843361183e-51 3.31196240648992e-52 5.18051505964813e-53 8.0888020884472e-54 1.26077659993318e-54 1.96179209797514e-55 3.04751836218673e-56 4.72645107854929e-57 7.31873249246773e-58 1.13152530300017e-58 1.74676964749906e-59 2.69255596672601e-60 4.14443993679481e-61 6.37019565865466e-62 9.7777483758088e-63 1.49877702343245e-63 5.8650209552588e-64
0 0 0 0 0 0 0 0 0 6.1298752515921e-09 0.000240194826935065 0.0112595496025731 0.0717279569191239 0.172384310305759 0.232024581762171 0.212543002431841 0.148005269044043 0.0839326779461716 0.0405784353609873 0.0172689801896218 0.00662124687883779 0.00232744105170856 0.000760147792509005 0.000233111694343305 6.76905790607114e-05 1.87394298767043e-05 4.9738224375222e-06 1.27164034577482e-06 3.14406313946443e-07 7.54269982065058e-08 1.76083449576139e-08 4.00999376070314e-09 8.92768765047667e-10 1.94681165022258e-10 4.1650447550781e-11 8.75515970442326e-12 1.81060662255261e-12 3.68812780483677e-13 7.40736001287477e-14 1.46826681982981e-14 2.87474567079905e-15 5.56392237147856e-16 1.06525544695386e-16 2.01880601918794e-17 3.7892813066506e-18 7.04811078455676e-19 1.29973726932306e-19 2.37739808561184e-20 4.31512242078549e-21 7.77493904953437e-22 1.39113420165853e-22 2.47259860697278e-23 4.36701906459469e-24 7.66634906245162e-25 1.33807648485593e-25 2.32258345797261e-26 4.01016260129925e-27 6.888881800381e-28 1.17766439653454e-28 2.00384897017783e-29 3.3943658130767e-30 5.72502676253871e-31 9.61595380009557e-32 1.60868127679463e-32 2.68085679051491e-33 4.45105522827846e-34 7.36367743269405e-35 1.21401107261357e-35 1.99479210877843e-36 3.2671432013867e-37 5.33433499121017e-38 8.68316012053309e-39 1.4092968412202e-39 2.28083606390716e-40 3.68120947412933e-41 5.92554193711322e-42 9.51352147505136e-43 1.52357304761907e-43 2.43402841253562e-44 3.87934733583468e-45 6.16866726184646e-46 9.78704240438416e-47 1.54940761912514e-47 2.44770775072302e-48 3.8588477235517e-49 6.07132519779805e-50 9.53366271086154e-51 1.49419847251053e-51 2.33749111121083e-52 3.65010194626946e-53 5.68974484823365e-54 8.85384821525025e-55 1.37543754513804e-55 2.1332246432764e-56 3.30320861515772e-57 5.10687585158955e-58 7.88333751047979e-59 1.21510991732246e-59 1.87019214399298e-60 2.87432727425095e-61 4.41142773901823e-62 6.76127011609986e-63 2.64566080407538e-63
